tract_name,median_income,total_population,white_population,black_population,asian_population,state,county,tract,tract_geoid,white_pct,black_pct,asian_pct
Census Tract 94.06; Sacramento County; California,107679,2452,1480,151,98,06,067,009406,06067009406,0.6035889070146819,0.06158238172920065,0.0399673735725938
Census Tract 94.08; Sacramento County; California,102625,1653,1001,66,151,06,067,009408,06067009408,0.6055656382335148,0.039927404718693285,0.09134906231094979
Census Tract 94.09; Sacramento County; California,112742,4560,2737,196,291,06,067,009409,06067009409,0.600219298245614,0.04298245614035088,0.06381578947368421
Census Tract 94.10; Sacramento County; California,85665,6610,3326,22,486,06,067,009410,06067009410,0.5031770045385779,0.0033282904689863843,0.0735249621785174
Census Tract 95.01; Sacramento County; California,84821,2864,1058,45,25,06,067,009501,06067009501,0.36941340782122906,0.015712290502793297,0.008729050279329608
Census Tract 95.02; Sacramento County; California,117294,7969,4400,18,384,06,067,009502,06067009502,0.5521395407202911,0.002258752666583009,0.04818672355377086
Census Tract 95.03; Sacramento County; California,62401,2760,1570,42,189,06,067,009503,06067009503,0.5688405797101449,0.015217391304347827,0.06847826086956521
Census Tract 95.04; Sacramento County; California,90398,3279,1541,86,0,06,067,009504,06067009504,0.46996035376639217,0.026227508386703263,0.0
Census Tract 96.01; Sacramento County; California,78779,7076,806,1063,2403,06,067,009601,06067009601,0.11390616167326173,0.15022611644997175,0.3395986433013002
Census Tract 96.08; Sacramento County; California,75322,10617,1397,1400,4579,06,067,009608,06067009608,0.1315814260148818,0.13186399171140623,0.43128944146180653
Census Tract 96.09; Sacramento County; California,85417,5767,887,1202,1767,06,067,009609,06067009609,0.15380613837350443,0.2084272585399688,0.30639847407664295
Census Tract 96.10; Sacramento County; California,96944,7304,961,1081,2071,06,067,009610,06067009610,0.13157174151150056,0.1480010952902519,0.2835432639649507
Census Tract 96.11; Sacramento County; California,103651,3899,1171,322,1104,06,067,009611,06067009611,0.3003334188253398,0.08258527827648116,0.28314952551936395
Census Tract 96.12; Sacramento County; California,111579,5251,1361,1054,1406,06,067,009612,06067009612,0.2591887259569606,0.20072367168158445,0.26775852218625024
Census Tract 96.14; Sacramento County; California,114526,6610,1750,1149,1961,06,067,009614,06067009614,0.264750378214826,0.17382753403933435,0.2966717095310136
Census Tract 96.16; Sacramento County; California,99754,6544,2409,630,933,06,067,009616,06067009616,0.3681234718826406,0.09627139364303179,0.14257334963325183
Census Tract 96.17; Sacramento County; California,144688,3557,2199,117,601,06,067,009617,06067009617,0.6182175991003654,0.032892887264548774,0.16896260894011808
Census Tract 96.18; Sacramento County; California,109720,5148,1608,585,1990,06,067,009618,06067009618,0.3123543123543124,0.11363636363636363,0.38655788655788653
Census Tract 96.22; Sacramento County; California,122426,7759,3289,625,1532,06,067,009622,06067009622,0.4238948318082227,0.08055161747647893,0.19744812475834514
Census Tract 96.32; Sacramento County; California,121719,6623,1561,377,3090,06,067,009632,06067009632,0.23569379435301224,0.05692284463234184,0.4665559414162766
Census Tract 96.33; Sacramento County; California,85334,3762,668,583,961,06,067,009633,06067009633,0.17756512493354598,0.15497076023391812,0.25544922913343965
Census Tract 96.34; Sacramento County; California,62903,5195,700,1072,1280,06,067,009634,06067009634,0.1347449470644851,0.20635226179018287,0.24639076034648702
Census Tract 96.35; Sacramento County; California,144968,5742,1349,980,1788,06,067,009635,06067009635,0.23493556252176942,0.17067223963775688,0.3113897596656217
Census Tract 96.37; Sacramento County; California,157667,6821,1209,881,2600,06,067,009637,06067009637,0.17724673801495383,0.12915994722181498,0.38117578067732005
Census Tract 96.39; Sacramento County; California,82111,4245,698,570,1914,06,067,009639,06067009639,0.16442873969375738,0.13427561837455831,0.4508833922261484
Census Tract 96.40; Sacramento County; California,39163,4944,590,1308,1056,06,067,009640,06067009640,0.11933656957928802,0.2645631067961165,0.21359223300970873
Census Tract 96.41; Sacramento County; California,80136,4176,916,497,881,06,067,009641,06067009641,0.2193486590038314,0.11901340996168583,0.21096743295019157
Census Tract 96.42; Sacramento County; California,99044,1739,639,191,402,06,067,009642,06067009642,0.36745255894192064,0.10983323749281196,0.23116733755031627
Census Tract 96.43; Sacramento County; California,128582,6295,2391,820,1613,06,067,009643,06067009643,0.37982525814138207,0.13026211278792693,0.2562351072279587
Census Tract 96.44; Sacramento County; California,142778,3530,1736,285,623,06,067,009644,06067009644,0.49178470254957507,0.08073654390934844,0.1764872521246459
Census Tract 96.45; Sacramento County; California,143896,4254,1386,394,1383,06,067,009645,06067009645,0.32581100141043723,0.0926187118006582,0.3251057827926657
Census Tract 96.46; Sacramento County; California,109408,3699,793,481,1436,06,067,009646,06067009646,0.214382265477156,0.1300351446336848,0.38821303054879697
Census Tract 96.47; Sacramento County; California,100938,6292,1060,1248,2432,06,067,009647,06067009647,0.168467895740623,0.19834710743801653,0.38652256834075016
Census Tract 96.48; Sacramento County; California,137614,3935,902,430,1511,06,067,009648,06067009648,0.22922490470139772,0.10927573062261753,0.38398983481575605
Census Tract 96.49; Sacramento County; California,161038,5485,1168,762,2304,06,067,009649,06067009649,0.21294439380127622,0.1389243391066545,0.42005469462169553
Census Tract 96.50; Sacramento County; California,210417,2977,726,166,1334,06,067,009650,06067009650,0.24386966745045346,0.055760833053409474,0.44810211622438695
Census Tract 96.51; Sacramento County; California,102313,5493,1677,616,2445,06,067,009651,06067009651,0.3052976515565265,0.11214272710722738,0.4451119606772256
Census Tract 96.52; Sacramento County; California,152854,6235,1054,774,3325,06,067,009652,06067009652,0.1690457097032879,0.12413793103448276,0.5332798716920609
Census Tract 96.53; Sacramento County; California,122756,3392,1251,470,579,06,067,009653,06067009653,0.36880896226415094,0.13856132075471697,0.17069575471698112
Census Tract 98; Sacramento County; California,72031,2062,1080,35,23,06,067,009800,06067009800,0.5237633365664404,0.01697381183317168,0.011154219204655674
Census Tract 99; Sacramento County; California,76034,3808,1681,0,189,06,067,009900,06067009900,0.4414390756302521,0.0,0.04963235294117647
Census Tract 9883; Sacramento County; California,232700,4432,995,1842,103,06,067,988300,06067988300,0.22450361010830325,0.41561371841155237,0.023240072202166066
